symbol,name,category,type,exchange
AAPL,Apple Inc.,Technology,Stocks,NMS
BA,Boeing Company (The),Industrials,Stocks,NYQ
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Stocks,NMS
AAL,"American Airlines Group, Inc.",Industrials,Stocks,NMS
BAC,Bank of America Corporation,Financial Services,Stocks,NYQ
T,AT&T Inc.,Communication Services,Stocks,NYQ
AMD,"Advanced Micro Devices, Inc.",Technology,Stocks,NMS
GOOG,Alphabet Inc.,Communication Services,Stocks,NMS
DAL,"Delta Air Lines, Inc.",Industrials,Stocks,NYQ
F,Ford Motor Company,Consumer Cyclical,Stocks,NYQ
AYTU,"Aytu BioScience, Inc.",Healthcare,Stocks,NCM
C,"Citigroup, Inc.",Financial Services,Stocks,NYQ
M,Macy's Inc,Consumer Cyclical,Stocks,NYQ
LUV,Southwest Airlines Company,Industrials,Stocks,NYQ
GOOGL,Alphabet Inc.,Communication Services,Stocks,NMS
AZN,Astrazeneca PLC,Healthcare,Stocks,NYQ
SAVE,"Spirit Airlines, Inc.",Industrials,Stocks,NYQ
ACB,Aurora Cannabis Inc.,Healthcare,Stocks,NYQ
WDI.DE,WIRECARD AG,Technology,Stocks,GER
V,Visa Inc.,Financial Services,Stocks,NYQ
RAD,Rite Aid Corporation,Healthcare,Stocks,NYQ
MO,"Altria Group, Inc.",Consumer Defensive,Stocks,NYQ
ARWR,"Arrowhead Pharmaceuticals, Inc.",Healthcare,Stocks,NMS
ABBV,AbbVie Inc.,Healthcare,Stocks,NYQ
APT,"Alpha Pro Tech, Ltd.",Industrials,Stocks,ASE
AXSM,"Axsome Therapeutics, Inc.",Healthcare,Stocks,NGM
ATNM,"Actinium Pharmaceuticals, Inc.",Healthcare,Stocks,ASE
ALT,"Altimmune, Inc.",Healthcare,Stocks,NGM
NAT,Nordic American Tankers Limited,Industrials,Stocks,NYQ
MA,Mastercard Incorporated,Financial Services,Stocks,NYQ
AXP,American Express Company,Financial Services,Stocks,NYQ
ATHX,"Athersys, Inc.",Healthcare,Stocks,NCM
X,United States Steel Corporation,Basic Materials,Stocks,NYQ
APHA,Aphria Inc.,Healthcare,Stocks,NMS
WCAGY,WIRECARD AG,Technology,Stocks,PNK
NEXCF,NEXTECH AR SOLUTIONS CORP,Consumer Cyclical,Stocks,PNK
JBLU,JetBlue Airways Corporation,Industrials,Stocks,NMS
ADBE,Adobe Inc.,Technology,Stocks,NMS
W,Wayfair Inc.,Consumer Cyclical,Stocks,NYQ
SPR,"Spirit Aerosystems Holdings, In",Industrials,Stocks,NYQ
ABT,Abbott Laboratories,Healthcare,Stocks,NYQ
O,Realty Income Corporation,Real Estate,Stocks,NYQ
WBA,"Walgreens Boots Alliance, Inc.",Healthcare,Stocks,NMS
AEY,"ADDvantage Technologies Group,",Technology,Stocks,NGM
NLY,Annaly Capital Management Inc,Real Estate,Stocks,NYQ
LULU,lululemon athletica inc.,Consumer Cyclical,Stocks,NMS
AGEN,Agenus Inc.,Healthcare,Stocks,NCM
AMC,"AMC Entertainment Holdings, Inc",Communication Services,Stocks,NYQ
UA,"Under Armour, Inc.",Consumer Cyclical,Stocks,NYQ
ATVI,"Activision Blizzard, Inc",Communication Services,Stocks,NMS
CAR,"Avis Budget Group, Inc.",Industrials,Stocks,NMS
LLY,Eli Lilly and Company,Healthcare,Stocks,NYQ
AC.TO,AIR CANADA,Industrials,Stocks,TOR
AA,Alcoa Corporation,Basic Materials,Stocks,NYQ
AGNC,AGNC Investment Corp.,Real Estate,Stocks,NMS
APA,Apache Corporation,Energy,Stocks,NMS
D,"Dominion Energy, Inc.",Utilities,Stocks,NYQ
ALK,"Alaska Air Group, Inc.",Industrials,Stocks,NYQ
FNMA,FEDERAL NATIONAL MORTGAGE ASSOC,Financial Services,Stocks,PNK
AMT,American Tower Corporation (REI,Real Estate,Stocks,NYQ
ACN,Accenture plc,Technology,Stocks,NYQ
AR,Antero Resources Corporation,Energy,Stocks,NYQ
AVMXF,AVITA MEDICAL LTD,Healthcare,Stocks,PNK
ATRS,"Antares Pharma, Inc.",Healthcare,Stocks,NCM
JMIA,JUMIA TECHNOLOGIES AG,Consumer Cyclical,Stocks,NYQ
AMPE,"Ampio Pharmaceuticals, Inc.",Healthcare,Stocks,ASE
ABML,AMERICAN BATTERY METALS CORP NE,Basic Materials,Stocks,PNK
AMAT,"Applied Materials, Inc.",Technology,Stocks,NMS
FRSX,Foresight Autonomous Holdings L,Consumer Cyclical,Stocks,NCM
