symbol,name,category,type,exchange
VFIAX,Vanguard 500 Index Fd Admiral S,N/A,Mutual Fund,NAS
FSCSX,Software and IT Services Portfo,N/A,Mutual Fund,NAS
VIGAX,Vanguard Growth Index Fd Admira,N/A,Mutual Fund,NAS
AGTHX,The Growth Fund of America Clas,N/A,Mutual Fund,NAS
VWENX,Vanguard Wellington Fund Admira,N/A,Mutual Fund,NAS
CPOAX,MS Insight Fund Class A,N/A,Mutual Fund,NAS
VBIAX,Vanguard Balanced Index Fd Admi,N/A,Mutual Fund,NAS
PRWCX,T. Rowe Price Capital Appreciat,N/A,Mutual Fund,NAS
VSMAX,Vanguard Small Cap Index Fd Adm,N/A,Mutual Fund,NAS
ANZAX,AllianzGI Convertible Fund Clas,N/A,Mutual Fund,NAS
ABALX,"American Balanced Fund, Class A",N/A,Mutual Fund,NAS
VIMAX,Vanguard Mid-Cap Index Fund Adm,N/A,Mutual Fund,NAS
FAGIX,Fidelity Capital and Income Fun,N/A,Mutual Fund,NAS
AKREX,Akre Focus - Retail,N/A,Mutual Fund,NAS
VPMAX,Vanguard PRIMECAP Fund Admiral,N/A,Mutual Fund,NAS
VDADX,Vanguard Dividend Appreciation,N/A,Mutual Fund,NAS
AIVSX,American Funds Investment Co of,N/A,Mutual Fund,NAS
PONAX,PIMCO Income Fund Class A,N/A,Mutual Fund,NAS
VGHAX,Vanguard Health Care Fund Admir,N/A,Mutual Fund,NAS
FKINX,Franklin Income Fund Class A1,N/A,Mutual Fund,NAS
MSEGX,MSIF Growth Portfolio Class A,N/A,Mutual Fund,NAS
VEIRX,Vanguard Equity Income Fund Adm,N/A,Mutual Fund,NAS
HACAX,Harbor Capital Appreciation Fun,N/A,Mutual Fund,NAS
AMECX,"The Income Fund of America, Cla",N/A,Mutual Fund,NAS
BGSAX,BlackRock Science and Technolog,N/A,Mutual Fund,NAS
AWSHX,Washington Mutual Invs Fd Cl A,N/A,Mutual Fund,NAS
FKDNX,Franklin Dynatech Fund Class A,N/A,Mutual Fund,NAS
FSDAX,Fidelity Select Defense & Aeros,N/A,Mutual Fund,NAS
